Episode,Avg_Reward,Avg_Length,Epsilon
100,-493.0596471597848,135.03,0.9985857142857143
200,-497.56463163551035,137.1,0.9971571428571429
300,-495.1069445192988,134.53,0.9957285714285714
400,-485.308414162154,141.48,0.9943
500,-480.82782182790345,140.46,0.9928714285714286
600,-491.8898671774873,133.61,0.9914428571428572
700,-486.5516396721248,139.3,0.9900142857142857
800,-480.1532459685381,141.1,0.9885857142857143
900,-484.1763994703435,139.35,0.9871571428571428
1000,-496.16465791535904,130.59,0.9857285714285714
1100,-477.18221222626426,143.26,0.9843
1200,-489.1082689410712,132.59,0.9828714285714286
1300,-490.09818263145377,133.47,0.9814428571428572
1400,-494.1573624017807,137.92,0.9800142857142857
1500,-498.4113772393728,131.09,0.9785857142857143
1600,-496.65473923279586,130.68,0.9771571428571428
1700,-495.5056620238172,133.88,0.9757285714285714
1800,-484.8254386751981,140.07,0.9742999999999999
1900,-483.53081247235264,145.42,0.9728714285714286
2000,-484.2044865833455,137.08,0.9714428571428572
2100,-476.83308377373083,137.63,0.9700142857142857
2200,-496.6292478664525,137.04,0.9685857142857143
2300,-482.7711388097583,145.09,0.9671571428571428
2400,-490.9656604095172,139.77,0.9657285714285714
2500,-480.951446763676,133.76,0.9643
2600,-480.73880908432807,143.72,0.9628714285714286
2700,-464.5112875092269,144.27,0.9614428571428572
2800,-480.87755546594644,147.56,0.9600142857142857
2900,-476.11987384502135,137.4,0.9585857142857143
3000,-485.10141906567907,138.46,0.9571571428571428
3100,-490.07177266352375,138.69,0.9557285714285715
3200,-477.79116862705564,138.39,0.9543
3300,-485.1746125708007,143.68,0.9528714285714286
3400,-480.34525168333545,139.06,0.9514428571428571
3500,-465.575156899933,155.16,0.9500142857142857
3600,-471.3482769483149,143.0,0.9485857142857143
3700,-475.13355239255986,142.42,0.9471571428571428
3800,-487.8689226550409,141.94,0.9457285714285715
3900,-476.71397163285053,141.32,0.9443
4000,-466.2379179137287,153.36,0.9428714285714286
4100,-482.2594544595415,136.44,0.9414428571428571
4200,-485.2066281512823,138.0,0.9400142857142857
4300,-493.6076028709329,137.84,0.9385857142857142
4400,-486.7322175477735,138.59,0.9371571428571428
4500,-479.4934029527028,139.95,0.9357285714285715
4600,-475.38859018090875,136.11,0.9343
4700,-480.1849607249842,141.81,0.9328714285714286
4800,-477.84962448547753,144.12,0.9314428571428571
